,firstname,surname,born,died,bornCountry,bornCity,gender,year,category,affiliation,city,country,identity
0,Wilhelm Conrad,Röntgen,1845-03-27,1923-02-10,Germany,Remscheid,male,1901,physics,Munich University,Munich,Germany,
1,Hendrik A.,Lorentz,1853-07-18,1928-02-04,the Netherlands,Arnhem,male,1902,physics,Leiden University,Leiden,the Netherlands,
2,Pieter,Zeeman,1865-05-25,1943-10-09,the Netherlands,Zonnemaire,male,1902,physics,Amsterdam University,Amsterdam,the Netherlands,
3,Henri,Becquerel,1852-12-15,1908-08-25,France,Paris,male,1903,physics,École Polytechnique,Paris,France,
4,Pierre,Curie,1859-05-15,1906-04-19,France,Paris,male,1903,physics,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,
5,Marie,Curie,1867-11-07,1934-07-04,Poland,Warsaw,female,1903,physics,,,,
6,Marie,Curie,1867-11-07,1934-07-04,Poland,Warsaw,female,1911,chemistry,Sorbonne University,Paris,France,
7,Lord,Rayleigh,1842-11-12,1919-06-30,United Kingdom,Langford Grove Maldon Essex,male,1904,physics,Royal Institution of Great Britain,London,United Kingdom,
8,Philipp,Lenard,1862-06-07,1947-05-20,Slovakia,Bratislava,male,1905,physics,Kiel University,Kiel,Germany,
9,J.J.,Thomson,1856-12-18,1940-08-30,United Kingdom,Cheetham Hill,male,1906,physics,University of Cambridge,Cambridge,United Kingdom,
10,Albert A.,Michelson,1852-12-19,1931-05-09,Poland,Strzelno,male,1907,physics,University of Chicago,Chicago IL,USA,
11,Gabriel,Lippmann,1845-08-16,1921-07-13,Luxembourg,Hollerich,male,1908,physics,Sorbonne University,Paris,France,
12,Guglielmo,Marconi,1874-04-25,1937-07-20,Italy,Bologna,male,1909,physics,Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom,
13,Ferdinand,Braun,1850-06-06,1918-04-20,Germany,Fulda,male,1909,physics,Strasbourg University,Strasbourg,Germany (now France),
14,Johannes Diderik,van der Waals,1837-11-23,1923-03-08,the Netherlands,Leiden,male,1910,physics,Amsterdam University,Amsterdam,the Netherlands,
15,Wilhelm,Wien,1864-01-13,1928-08-30,Russia,Parusnoye,male,1911,physics,Würzburg University,Würzburg,Germany,
16,Gustaf,Dalén,1869-11-30,1937-12-09,Sweden,Stenstorp,male,1912,physics,Swedish Gas-Accumulator Co.,Lidingö Stockholm,Sweden,
17,Heike,Kamerlingh Onnes,1853-09-21,1926-02-21,the Netherlands,Groningen,male,1913,physics,Leiden University,Leiden,the Netherlands,
18,Max,von Laue,1879-10-09,1960-04-23,Germany,Pfaffendorf,male,1914,physics,Frankfurt-on-the-Main University,Frankfurt-on-the-Main,Germany,
19,William,Bragg,1862-07-02,1942-03-12,United Kingdom,Wigton,male,1915,physics,University College,London,United Kingdom,
20,Lawrence,Bragg,1890-03-31,1971-07-01,Australia,Adelaide,male,1915,physics,Victoria University,Manchester,United Kingdom,
21,Charles Glover,Barkla,1877-06-07,1944-10-23,United Kingdom,Widnes,male,1917,physics,Edinburgh University,Edinburgh,United Kingdom,
22,Max,Planck,1858-04-23,1947-10-04,Germany,Kiel,male,1918,physics,Berlin University,Berlin,Germany,
23,Johannes,Stark,1874-04-15,1957-06-21,Germany,Schickenhof,male,1919,physics,Greifswald University,Greifswald,Germany,
24,Charles Edouard,Guillaume,1861-02-15,1938-06-13,Switzerland,Fleurier,male,1920,physics,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Sèvres,France,
25,Albert,Einstein,1879-03-14,1955-04-18,Germany,Ulm,male,1921,physics,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,
26,Niels,Bohr,1885-10-07,1962-11-18,Denmark,Copenhagen,male,1922,physics,Copenhagen University,Copenhagen,Denmark,
27,Robert A.,Millikan,1868-03-22,1953-12-19,USA,Morrison IL,male,1923,physics,California Institute of Technology (Caltech),Pasadena CA,USA,
28,Manne,Siegbahn,1886-12-03,1978-09-26,Sweden,Örebro,male,1924,physics,Uppsala University,Uppsala,Sweden,
29,James,Franck,1882-08-26,1964-05-21,Germany,Hamburg,male,1925,physics,Goettingen University,Göttingen,Germany,
30,Gustav,Hertz,1887-07-22,1975-10-30,Germany,Hamburg,male,1925,physics,Halle University,Halle,Germany,
31,Jean Baptiste,Perrin,1870-09-30,1942-04-17,France,Lille,male,1926,physics,Sorbonne University,Paris,France,
32,Arthur H.,Compton,1892-09-10,1962-03-15,USA,Wooster OH,male,1927,physics,University of Chicago,Chicago IL,USA,
33,C.T.R.,Wilson,1869-02-14,1959-11-15,Scotland,Glencorse,male,1927,physics,University of Cambridge,Cambridge,United Kingdom,
34,Owen Willans,Richardson,1879-04-26,1959-02-15,United Kingdom,Dewsbury,male,1928,physics,London University,London,United Kingdom,
35,Louis,de Broglie,1892-08-15,1987-03-19,France,Dieppe,male,1929,physics,Sorbonne University Institut Henri Poincaré,Paris,France,
36,Sir Chandrasekhara Venkata,Raman,1888-11-07,1970-11-21,India,Tiruchirappalli,male,1930,physics,Calcutta University,Calcutta,India,Asian
37,Werner,Heisenberg,1901-12-05,1976-02-01,Germany,Würzburg,male,1932,physics,Leipzig University,Leipzig,Germany,
38,Erwin,Schrödinger,1887-08-12,1961-01-04,Austria,Vienna,male,1933,physics,Berlin University,Berlin,Germany,
39,Paul A.M.,Dirac,1902-08-08,1984-10-20,United Kingdom,Bristol,male,1933,physics,University of Cambridge,Cambridge,United Kingdom,
40,James,Chadwick,1891-10-20,1974-07-24,United Kingdom,Manchester,male,1935,physics,Liverpool University,Liverpool,United Kingdom,
41,Victor F.,Hess,1883-06-24,1964-12-17,Austria,Peggau,male,1936,physics,Innsbruck University,Innsbruck,Austria,
42,Carl D.,Anderson,1905-09-03,1991-01-11,USA,New York NY,male,1936,physics,California Institute of Technology (Caltech),Pasadena CA,USA,
43,Clinton,Davisson,1881-10-22,1958-02-01,USA,Bloomington IL,male,1937,physics,Bell Telephone Laboratories,New York NY,USA,
44,George Paget,Thomson,1892-05-03,1975-09-10,United Kingdom,Cambridge,male,1937,physics,London University,London,United Kingdom,
45,Enrico,Fermi,1901-09-29,1954-11-28,Italy,Rome,male,1938,physics,Rome University,Rome,Italy,
46,Ernest,Lawrence,1901-08-08,1958-08-27,USA,Canton SD,male,1939,physics,University of California,Berkeley CA,USA,
47,Otto,Stern,1888-02-17,1969-08-17,Poland,Zory,male,1943,physics,Carnegie Institute of Technology,Pittsburgh PA,USA,
48,Isidor Isaac,Rabi,1898-07-29,1988-01-11,Poland,Rymanow,male,1944,physics,Columbia University,New York NY,USA,
49,Wolfgang,Pauli,1900-04-25,1958-12-15,Austria,Vienna,male,1945,physics,Princeton University,Princeton NJ,USA,
50,Percy W.,Bridgman,1882-04-21,1961-08-20,USA,Cambridge MA,male,1946,physics,Harvard University,Cambridge MA,USA,
51,Edward V.,Appleton,1892-09-06,1965-04-21,United Kingdom,Bradford,male,1947,physics,Department of Scientific and Industrial Research,London,United Kingdom,
52,Patrick M.S.,Blackett,1897-11-18,1974-07-13,United Kingdom,London,male,1948,physics,Victoria University,Manchester,United Kingdom,
