,Category,Year,Hispanic,American Indian,Asian,Black,White,More than one race,Hispanic_percentage,American Indian_percentage,Asian_percentage,Black_percentage,White_percentage,More than one race_percentage,Female,Male,Female_percentage,Male_percentage
0,engineering,1990,54600.0,4700.0,119900.0,60000.0,1474900.0,0.0,0.03185345079050231,0.0027419637127355464,0.06994924450148766,0.03500379207747506,0.8604515489177994,0.0,156900.0,1558100.0,0.0914868804664723,0.9085131195335276
1,engineering,1993,39000.0,3000.0,132000.0,37000.0,1128000.0,0.0,0.02912621359223301,0.0022404779686333084,0.09858103061986558,0.027632561613144136,0.842419716206124,0.0,105000.0,1236000.0,0.07829977628635347,0.9217002237136466
2,engineering,1995,42100.0,3400.0,137400.0,34300.0,1120900.0,0.0,0.03146252148568866,0.002540916224497422,0.10268290860174875,0.02563336073537105,0.8376802929526941,0.0,118600.0,1256600.0,0.08624200116346713,0.9137579988365329
3,engineering,1997,48600.0,3900.0,152900.0,36400.0,1155100.0,0.0,0.0347913236452144,0.0027918963418999214,0.10945665401961487,0.02605769919106593,0.8269024268022049,0.0,126800.0,1270300.0,0.09075943024837163,0.9092405697516284
4,engineering,1999,49100.0,4100.0,156600.0,37700.0,1122400.0,0.0,0.03584203226512884,0.0029929191911818383,0.11431491349733557,0.027520256953062268,0.8193298780932915,0.0,130000.0,1240200.0,0.09487666034155598,0.905123339658444
5,engineering,2000,43100.0,3600.0,158500.0,42800.0,1020300.0,0.0,0.0339824962548293,0.0028384451628163682,0.12497043286288732,0.033745959157927934,0.8044626665615391,0.0,139800.0,1147800.0,0.10857409133271202,0.891425908667288
6,engineering,2003,79700.0,4800.0,194800.0,52800.0,1197000.0,0.0,0.05212216336407037,0.0031391014322150286,0.12739519979072658,0.03453011575436531,0.7828134196586227,0.0,172300.0,1382500.0,0.11081811165423205,0.889181888345768
7,engineering,2006,89000.0,4000.0,235000.0,51000.0,1213000.0,0.0,0.055904522613065326,0.002512562814070352,0.14761306532663315,0.032035175879396985,0.7619346733668342,0.0,187000.0,1433000.0,0.1154320987654321,0.8845679012345679
8,engineering,2008,15000.0,1000.0,46000.0,11000.0,124000.0,0.0,0.07614213197969544,0.005076142131979695,0.233502538071066,0.05583756345177665,0.6294416243654822,0.0,204000.0,1378000.0,0.12895069532237674,0.8710493046776233
9,engineering,2010,99000.0,5000.0,262000.0,56000.0,1123000.0,19000.0,0.0632992327365729,0.00319693094629156,0.16751918158567775,0.03580562659846547,0.7180306905370843,0.012148337595907928,200000.0,1369000.0,0.12746972594008923,0.8725302740599108
10,engineering,2013,101000.0,3000.0,219000.0,56000.0,1135000.0,20000.0,0.06584093872229466,0.001955671447196871,0.14276401564537158,0.03650586701434159,0.7398956975228161,0.01303780964797914,228000.0,1310000.0,0.1482444733420026,0.8517555266579974
11,engineering,2015,120000.0,4000.0,279000.0,74000.0,1213000.0,27000.0,0.06988934187536401,0.0023296447291788003,0.16249271986022132,0.04309842748980781,0.7064647641234711,0.0157251019219569,250000.0,1469000.0,0.14543339150668994,0.85456660849331
12,engineering,2017,143000.0,5000.0,283000.0,62000.0,1196000.0,31000.0,0.08313953488372093,0.0029069767441860465,0.16453488372093023,0.03604651162790698,0.6953488372093023,0.01802325581395349,269000.0,1459000.0,0.1556712962962963,0.8443287037037037
13,engineering,2019,159000.0,5000.0,331000.0,77000.0,1305000.0,37000.0,0.08307210031347963,0.002612330198537095,0.1729362591431557,0.040229885057471264,0.6818181818181818,0.019331243469174503,310000.0,1612000.0,0.16129032258064516,0.8387096774193549
14,engineering,2021,178000.0,2000.0,316000.0,65000.0,1345000.0,36000.0,0.09165808444902163,0.0010298661174047373,0.1627188465499485,0.03347064881565397,0.6925849639546859,0.018537590113285273,312000.0,1636000.0,0.1601642710472279,0.839835728952772
15,life science,1993,9000.0,0.0,31000.0,10000.0,265000.0,0.0,0.02857142857142857,0.0,0.09841269841269841,0.031746031746031744,0.8412698412698413,0.0,104000.0,212000.0,0.3291139240506329,0.6708860759493671
16,life science,1995,8400.0,600.0,29100.0,9800.0,257200.0,0.0,0.02753195673549656,0.0019665683382497543,0.09537856440511308,0.032120616191412654,0.843002294329728,0.0,108800.0,202700.0,0.3492776886035313,0.6507223113964687
17,life science,1997,8400.0,1400.0,33700.0,8200.0,277600.0,0.0,0.02550865472213787,0.004251442453689645,0.1023382933495293,0.024901305800182204,0.843000303674461,0.0,24900.0,47400.0,0.34439834024896265,0.6556016597510373
18,life science,1999,10900.0,1500.0,37700.0,6600.0,285100.0,0.0,0.03188999414862493,0.004388531304856641,0.11029842012873026,0.01930953774136922,0.834113516676419,0.0,124400.0,217500.0,0.363849078677976,0.636150921322024
19,life science,2000,17800.0,2000.0,88800.0,18800.0,411200.0,0.0,0.03304864463423691,0.003713330857779428,0.16487189008540662,0.034905310063126624,0.7634608243594504,0.0,183000.0,364300.0,0.33436871916681893,0.665631280833181
20,life science,2003,23100.0,3900.0,78500.0,20400.0,422500.0,0.0,0.04212253829321663,0.007111597374179431,0.14314369073668856,0.037199124726477024,0.7704230488694384,0.0,240400.0,314200.0,0.433465560764515,0.5665344392354851
21,life science,2006,21000.0,4000.0,77000.0,13000.0,363000.0,0.0,0.043933054393305436,0.008368200836820083,0.16108786610878661,0.027196652719665274,0.7594142259414226,0.0,213000.0,274000.0,0.43737166324435317,0.5626283367556468
22,life science,2008,13000.0,1000.0,40000.0,7000.0,160000.0,0.0,0.058823529411764705,0.004524886877828055,0.18099547511312217,0.03167420814479638,0.7239819004524887,0.0,224000.0,274000.0,0.4497991967871486,0.5502008032128514
23,life science,2010,29000.0,1000.0,116000.0,16000.0,423000.0,9000.0,0.04882154882154882,0.0016835016835016834,0.19528619528619529,0.026936026936026935,0.7121212121212122,0.015151515151515152,288000.0,309000.0,0.4824120603015075,0.5175879396984925
24,life science,2013,240000.0,8000.0,748000.0,212000.0,2826000.0,8000.0,0.05937654626422563,0.0019792182088075212,0.1850569025235032,0.05244928253339931,0.6991588322612569,0.0019792182088075212,303000.0,322000.0,0.4848,0.5152
25,life science,2015,37000.0,2000.0,114000.0,16000.0,449000.0,12000.0,0.05873015873015873,0.0031746031746031746,0.18095238095238095,0.025396825396825397,0.7126984126984127,0.01904761904761905,302000.0,329000.0,0.4786053882725832,0.5213946117274167
26,life science,2017,38000.0,0.0,126000.0,20000.0,415000.0,9000.0,0.0625,0.0,0.20723684210526316,0.03289473684210526,0.6825657894736842,0.014802631578947368,292000.0,319000.0,0.4779050736497545,0.5220949263502455
27,life science,2019,64000.0,1000.0,157000.0,23000.0,439000.0,14000.0,0.09169054441260745,0.0014326647564469914,0.22492836676217765,0.0329512893982808,0.6289398280802292,0.02005730659025788,337000.0,361000.0,0.4828080229226361,0.5171919770773639
28,life science,2021,72000.0,2000.0,167000.0,32000.0,501000.0,19000.0,0.09079445145018916,0.0025220680958385876,0.21059268600252207,0.0403530895334174,0.6317780580075663,0.02395964691046658,367000.0,427000.0,0.4622166246851385,0.5377833753148614
29,math/cs,1990,23800.0,2300.0,49500.0,49000.0,654700.0,0.0,0.030540228410111638,0.002951366611061209,0.06351854228153471,0.06287694084434749,0.840112921852945,0.0,276600.0,503300.0,0.35466085395563535,0.6453391460443647
30,math/cs,1993,25000.0,1000.0,86000.0,41000.0,808000.0,0.0,0.026014568158168574,0.001040582726326743,0.08949011446409989,0.04266389177939646,0.8407908428720083,0.0,296000.0,667000.0,0.3073727933541018,0.6926272066458983
31,math/cs,1995,22900.0,1600.0,100300.0,39300.0,784900.0,0.0,0.024130663856691253,0.0016859852476290833,0.10569020021074815,0.041412012644889355,0.8270811380400421,0.0,279100.0,687100.0,0.2888635893189816,0.7111364106810184
32,math/cs,1997,27000.0,1800.0,128600.0,45400.0,850500.0,0.0,0.02563372258615779,0.001708914839077186,0.12209247128073673,0.043102629830057915,0.8074622614639704,0.0,287500.0,766600.0,0.27274452139265726,0.7272554786073427
33,math/cs,1999,37600.0,2700.0,153600.0,51400.0,922200.0,0.0,0.03220556745182013,0.0023126338329764453,0.13156316916488223,0.04402569593147752,0.7898929336188437,0.0,316700.0,850600.0,0.27130986036151805,0.728690139638482
34,math/cs,2000,52400.0,3200.0,250000.0,82900.0,1073200.0,0.0,0.03584866935759732,0.002189231716494493,0.17103372785113224,0.05671478415543545,0.7342135869193405,0.0,426700.0,1058300.0,0.28734006734006734,0.7126599326599327
35,math/cs,2003,76600.0,3600.0,357500.0,105900.0,1431500.0,0.0,0.03878284643815503,0.0018226925218976255,0.1810034934940003,0.05361753835248848,0.7247734291934586,0.0,569800.0,1438700.0,0.2836942992282798,0.7163057007717202
36,math/cs,2006,82000.0,4000.0,430000.0,103000.0,1453000.0,0.0,0.03957528957528957,0.0019305019305019305,0.20752895752895753,0.04971042471042471,0.7012548262548263,0.0,560000.0,1552000.0,0.26515151515151514,0.7348484848484849
37,math/cs,2008,19000.0,1000.0,114000.0,41000.0,332000.0,0.0,0.03747534516765286,0.0019723865877712033,0.22485207100591717,0.08086785009861933,0.6548323471400395,0.0,518000.0,1452000.0,0.2629441624365482,0.7370558375634517
38,math/cs,2010,109000.0,2000.0,542000.0,139000.0,1562000.0,36000.0,0.04560669456066946,0.0008368200836820083,0.22677824267782426,0.05815899581589958,0.6535564853556486,0.01506276150627615,602000.0,1792000.0,0.25146198830409355,0.7485380116959064
