Year,Name,Prize,Identity
1986,Wole Soyinka,Literature,Black
1992,Derek Walcott,Literature,Black
1993,Toni Morrison,Literature,Black
2021,Abdulrazak Gurnah,Literature,Black
1950,Ralph Bunche,Peace,Black
1960,Albert John Luthuli,Peace,Black
1964,Martin Luther King Jr.,Peace,Black
1984,Desmond Tutu,Peace,Black
1993,Nelson Mandela,Peace,Black
2001,Kofi Annan,Peace,Black
2004,Wangari Maathai,Peace,Black
2009,Barack Obama,Peace,Black
2011,Ellen Johnson Sirleaf,Peace,Black
2011,Leymah Gbowee,Peace,Black
2018,Denis Mukwege,Peace,Black
2019,Abiy Ahmed,Peace,Black
1979,W. Arthur Lewis,Economics,Black
1970,Luis F. Leloir,Chemistry,Latin American
1995,Mario J. Molina,Chemistry,Latin American
1947,Bernardo Alberto Houssay,Physiology or Medicine,Latin American
1980,Baruj Benacerraf,Physiology or Medicine,Latin American
1984,CÃ©sar Milstein,Physiology or Medicine,Latin American
1945,Gabriela Mistral,Literature,Latin American
1967,Miguel Ãngel Asturias,Literature,Latin American
1971,Pablo Neruda,Literature,Latin American
1982,Gabriel GarcÃ­a MÃ¡rquez,Literature,Latin American
1990,Octavio Paz,Literature,Latin American
2010,Mario Vargas Llosa,Literature,Latin American
1936,"	Carlos Saavedra Lamas",Peace,Latin American
1980,Adolfo PÃ©rez Esquivel,Peace,Latin American
1982,Alfonso GarcÃ­a Robles,Peace,Latin American
1987,Ãscar Arias SÃ¡nchez,Peace,Latin American
1992,Rigoberta MenchÃº,Peace,Latin American
2016,Juan Manuel Santos,Peace,Latin American
1930,Chandrasekhara Venkata Raman,Physics,Asian
1949,Hideki Yukawa,Physics,Asian
1957,Chen Ning Yang,Physics,Asian
1957,Tsung-Dao Lee,Physics,Asian
1965,Shin'ichiro Tomonaga,Physics,Asian
1973,Leo Esaki,Physics,Asian
1976,Samuel C. C. Ting,Physics,Asian
1979,Abdus Salam,Physics,Asian
1983,Subrahmanyan Chandrasekhar,Physics,Asian
1997,Steven Chu,Physics,Asian
1998,Daniel C. Tsui,Physics,Asian
2002,Masatoshi Koshiba,Physics,Asian
2008,Yoichiro Nambu,Physics,Asian
2008,Makoto Kobayashi,Physics,Asian
2008,Toshihide Maskawa,Physics,Asian
2009,Charles K. Kao,Physics,Asian
2014,Isamu Akasaki,Physics,Asian
2014,Hiroshi Amano,Physics,Asian
2014,Shuji Nakamura,Physics,Asian
2015,Takaaki Kajita,Physics,Asian
2021,Syukuro Manabe,Physics,Asian
1981,Kenichi Fukui,Chemistry,Asian
1986,Yuan T. Lee,Chemistry,Asian
1987,Charles J. Pedersen,Chemistry,Asian
2000,Hideki Shirakawa,Chemistry,Asian
2001,RyÅji Noyori,Chemistry,Asian
2002,Koichi Tanaka,Chemistry,Asian
2004,Aaron Ciechanover,Chemistry,Asian
2004,Avram Hershko,Chemistry,Asian
2008,Osamu Shimomura,Chemistry,Asian
2008,Roger Y. Tsien,Chemistry,Asian
2009,Venki Ramakrishnan,Chemistry,Asian
2009,Ada Yonath,Chemistry,Asian
2010,Ei-ichi Negishi,Chemistry,Asian
2010,Akira Suzuki,Chemistry,Asian
2011,Dan Shechtman,Chemistry,Asian
2013,Arieh Warshel,Chemistry,Asian
2015,Aziz Sancar,Chemistry,Asian
2019,Akira Yoshino,Chemistry,Asian
1968,Har Gobind Khorana,Physiology or Medicine,Asian
1987,Susumu Tonegawa,Physiology or Medicine,Asian
2012,Shinya Yamanaka,Physiology or Medicine,Asian
2015,Satoshi Åmura,Physiology or Medicine,Asian
2015,Tu Youyou,Physiology or Medicine,Asian
2016,Yoshinori Ohsumi,Physiology or Medicine,Asian
2018,Tasuku Honjo,Physiology or Medicine,Asian
1913,Rabindranath Tagore,Literature,Asian
1968,Yasunari Kawabata,Literature,Asian
1994,KenzaburÅ Åe,Literature,Asian
2000,Gao Xingjian,Literature,Asian
